ant-1.3.csv,1,4,5,6,8,11,12,15,3,2,7,20,9,19,18
ant-1.4.csv,4,8,6,7,20,5,19,3,2,9,10,11,16,18,17
ant-1.5.csv,5,8,10,11,17,1,13,6,12,9,15,4,16,14,2
ant-1.6.csv,4,5,6,8,9,11,13,15,18,1,19,10,20,12,14
ant-1.7.csv,4,5,6,11,15,18,19,9,1,8,10,20,13,12,16
camel-1.0.csv,4,6,7,20,1,9,16,15,5,18,3,2,17,8,14
camel-1.2.csv,2,3,7,9,6,8,20,19,4,5,10,11,16,18,17
camel-1.4.csv,1,2,4,5,6,7,9,11,15,8,18,19,16,3,20
camel-1.6.csv,2,3,4,6,7,9,15,16,17,18,20,5,1,11,19
ckjm.csv,15,9,11,1,4,7,2,6,3,5,8,20,19,12,18
ivy-1.1.csv,1,4,5,8,11,15,6,18,3,2,7,20,9,19,17
ivy-1.4.csv,5,11,2,3,8,7,6,9,4,20,10,19,16,18,17
ivy-2.0.csv,1,4,5,8,9,11,13,18,19,6,15,20,12,7,2
jedit-3.2.csv,2,4,5,6,8,10,12,13,16,17,19,11,1,14,15
jedit-4.0.csv,1,5,6,8,9,10,11,12,13,17,19,15,4,20,7
jedit-4.1.csv,5,6,8,11,13,15,17,19,1,9,20,12,10,18,4
jedit-4.2.csv,5,6,7,8,9,10,11,15,17,19,1,4,13,18,20
jedit-4.3.csv,5,13,7,9,6,20,4,3,2,8,10,19,16,18,17
log4j-1.0.csv,1,4,5,6,7,8,9,12,15,20,11,19,2,18,3
log4j-1.1.csv,1,5,6,8,9,10,13,14,11,4,15,19,18,2,3
log4j-1.2.csv,4,7,9,6,8,20,19,3,2,5,10,11,16,18,17
lucene-2.0.csv,1,3,4,5,6,8,9,11,15,18,10,12,20,16,17
lucene-2.2.csv,1,2,4,6,9,12,5,7,3,8,20,19,16,18,17
lucene-2.4.csv,3,4,5,6,7,8,9,11,12,14,16,17,19,1,18
poi-1.5.csv,2,5,6,9,10,11,1,17,12,13,14,18,8,16,4
poi-2.0.csv,1,8,11,14,18,19,20,5,4,17,2,16,3,6,7
poi-2.5.csv,2,5,6,7,9,10,11,12,17,18,1,15,8,14,16
poi-3.0.csv,1,4,5,6,8,10,17,18,19,11,9,20,14,13,16
redaktor.csv,9,10,11,14,19,17,16,2,5,6,4,8,3,7,20
synapse-1.0.csv,8,11,15,19,5,4,3,2,7,6,20,10,9,12,18
synapse-1.1.csv,2,4,5,6,8,12,14,15,11,1,13,19,3,20,7
synapse-1.2.csv,1,4,5,7,8,11,13,17,18,19,15,6,20,10,12
tomcat.csv,4,5,11,13,19,20,1,15,18,6,9,12,10,7,8
velocity-1.4.csv,2,7,9,16,17,18,14,3,6,5,4,20,10,8,13
velocity-1.6.csv,1,6,8,14,15,5,9,11,4,13,2,3,7,20,19
xalan-2.4.csv,4,5,6,10,11,17,19,20,1,18,15,9,13,8,12
xalan-2.5.csv,1,5,6,9,10,11,17,18,13,19,20,4,3,2,14
xalan-2.6.csv,9,10,11,18,1,5,15,6,4,14,19,17,20,2,13
xalan-2.7.csv,5,9,1,6,4,11,8,15,17,16,2,7,3,20,19
xerces-1.2.csv,2,3,4,15,17,8,9,7,6,5,20,10,19,11,18
xerces-1.3.csv,1,8,12,16,17,18,9,10,6,11,4,13,7,5,19
xerces-1.4.csv,4,10,14,8,7,18,16,17,11,2,20,19,15,12,13
