SPE+   TCA+ 3,SPE TCA+,KNN-TDS  TCA+,MZ_Score  TCA+,CFPS TCA+,Bellweather TCA+,SPE+   BDA 3,SPE BDA,KNN-TDS  BDA,MZ_Score  BDA,CFPS BDA,Bellweather BDA,SPE+   KMM 3,SPE KMM,KNN-TDS  KMM,MZ_Score  KMM,CFPS KMM,Bellweather KMM
0.440692641,0.36917493,0.245623941,0.245623941,0.504741388,0.66058619,0.763932124,0.789078305,0.762163508,0.762163508,0.643881209,0.745594294,0.48763835,0.64410086,0.689645078,0.689645078,0.537981135,0.587059412
0.523250082,0.283294551,0.303052615,0.274719808,0.494176477,0.751262741,0.756352331,0.742734005,0.744407003,0.743926825,0.641044977,0.714918369,0.58238527,0.238597449,0.680416292,0.657182231,0.524316538,0.582224537
0.78822314,0.712520037,0.387411219,0.764832909,0.272436575,0.539136947,0.741105141,0.432834499,0.243994576,0.217936261,0.370801236,0.363682746,0.179473094,0.179473094,0.314345476,0.733171559,0.379089364,0.29140625
0.867823413,0.851065585,0.78796792,0.849869619,0.604925748,0.78796792,0.814107078,0.766194548,0.619921029,0.712876411,0.478427217,0.619921029,0.845840836,0.845840836,0.17200761,0.864720642,0.031609297,0.17200761
0.67980954,0.738399084,0.724735517,0.643687767,0.629378188,0.724735517,0.607020814,0.692037467,0.66460595,0.686422972,0.651005616,0.66460595,0.657076431,0.657076431,0.292984118,0.66397189,0.151831124,0.292984118
0.71193484,0.691799127,0.209404144,0.602539063,0.552832531,0.727470035,0.610700009,0.702609569,0.607219654,0.723295567,0.661449864,0.703230366,0.567641081,0.567641081,0.253330003,0.688504911,0.234663253,0.358813269
0.845840919,0.867492686,0.792977166,0.88938915,0.665770451,0.846685686,0.615077319,0.646508997,0.561162149,0.65040998,0.556442365,0.615077319,0.647589534,0.87184243,0.603739936,0.686570287,0.17952564,0.293955638
0.635198135,0.394894895,0.654736842,0.521259331,0.654736842,0.420371962,0.310706359,0.367430954,0.576094065,0.498933465,0.576094065,0.444291447,0.727991886,0.125646074,0.502824859,0.25347086,0.502824859,0.6859375
0.611698734,0.611698734,0.619269875,0.66313083,0.61293738,0.659471163,0.658327533,0.628220063,0.646866579,0.65915358,0.63395222,0.658336379,0.38800368,0.534562535,0.214309878,0.532528029,0.630711328,0.23560825
0.823328225,0.798098519,0.494765904,0.313340695,0.541940761,0.692207721,0.762040559,0.749128845,0.762040559,0.601400669,0.626473297,0.665552394,0.762852662,0.691085187,0.610270649,0.635391793,0.603570317,0.289706866
0.510652823,0.435454035,0.409852739,0.425800767,0.561308488,0.548259824,0.61016182,0.580866676,0.495378908,0.413339378,0.601628969,0.570757696,0.476938074,0.474847659,0.476938074,0.460562914,0.541520649,0.419362231
0.566425885,0.690157741,0.537168622,0.325679699,0.528622107,0.566425885,0.666931525,0.592110937,0.591431879,0.397103348,0.585809758,0.600292171,0.492056441,0.412810794,0.471203535,0.484259702,0.638071192,0.359105757
0.786029245,0.570360219,0.366127457,0.810933858,0.725273265,0.574805762,0.827139281,0.533283791,0.707632282,0.513809228,0.73689933,0.632683395,0.781208921,0.345053336,0.735163689,0.470045285,0.752569285,0.840986231
0.789435952,0.769517486,0.781387013,0.697649882,0.545546326,0.697649882,0.547222337,0.533828139,0.577432728,0.509861455,0.412437684,0.509861455,0.602956862,0.749842435,0.755640867,0.193531697,0.24439846,0.193531697
0.690774131,0.870052917,0.810567301,0.774464695,0.623758434,0.734213399,0.623693982,0.529905842,0.623693982,0.50281948,0.439098647,0.512232098,0.818160544,0.818160544,0.792601227,0.429919969,0.263881257,0.189768386
0.685938007,0.250521163,0.498018944,0.415204847,0.651540639,0.427327357,0.603151143,0.542618365,0.641535574,0.601198653,0.588489001,0.595133894,0.459558627,0.265168088,0.458058295,0.67842387,0.606306162,0.635085989
