1,4,5,6,8,11,12,15,5,11,6
4,8,4,8,6,7,20,5,19,3,2
5,8,10,11,17,17,5,11,8,1,10
4,5,6,8,9,11,13,15,18,15,11
4,5,6,11,15,18,19,5,11,15,6
4,6,7,20,7,4,6,20,1,9,16
2,3,7,9,3,2,9,7,6,8,20
1,2,4,5,6,7,9,11,15,2,5
2,3,4,6,7,9,15,16,17,18,20
15,15,9,11,1,4,7,2,6,3,5
1,4,5,8,11,15,5,11,8,15,1
5,11,11,5,2,3,8,7,6,9,4
1,4,5,8,9,11,13,18,13,11,5
2,4,5,6,8,10,12,13,16,17,19
1,5,6,8,9,10,11,12,13,17,19
5,6,8,11,13,15,17,19,11,15,6
5,6,7,8,9,10,11,15,17,19,8
5,13,13,5,7,9,6,20,4,3,2
1,4,5,6,7,8,9,12,15,20,4
1,5,6,8,9,10,13,14,1,6,9
4,7,9,4,7,9,6,8,20,19,3
1,3,4,5,6,8,9,11,15,18,9
1,2,4,6,9,12,9,1,6,2,4
3,4,5,6,7,8,9,11,12,14,16,17,19
2,5,6,9,10,11,1,11,10,5,9
1,8,11,14,18,19,20,1,11,5,19
2,5,6,7,9,10,11,12,17,11,18
1,4,5,6,8,10,17,18,19,8,18
9,10,11,14,19,17,14,10,16,19,2
8,11,15,19,8,11,5,19,15,4,3
2,4,5,6,8,12,14,15,8,4,2
1,4,5,7,8,11,13,17,18,19,5
4,5,11,13,19,5,11,19,4,20,1
2,7,9,16,17,18,17,16,2,18,7
1,6,8,14,15,6,8,15,14,1,5
4,5,6,10,11,17,19,17,11,19,5
1,5,6,9,10,11,17,18,5,1,18
9,10,11,18,11,18,10,9,1,5,15
5,9,9,5,1,6,4,11,8,15,17
2,3,4,15,17,17,3,15,4,8,2
1,8,12,16,17,18,16,9,1,17,18
4,10,14,4,8,7,18,16,17,14,11
